#proteinId	gotermId	goName	gotermType	goAcc
548	2623	serine carboxypeptidase activity	molecular_function	GO:0004185
548	4639	proteolysis	biological_process	GO:0006508
548	2624	carboxypeptidase C activity	molecular_function	GO:0004186
548	2685	vacuolar carboxypeptidase Y	molecular_function	GO:0004258
1467	3435	Ras GTPase activator activity	molecular_function	GO:0005099
1467	3827	intracellular	cellular_component	GO:0005622
1467	5344	small GTPase mediated signal transduction	biological_process	GO:0007264
1467	3432	GTPase activator activity	molecular_function	GO:0005096
1467	24310	regulation of small GTPase mediated signal transduction	biological_process	GO:0051056
1467	5250	signal transduction	biological_process	GO:0007165
1755	4639	proteolysis	biological_process	GO:0006508
1755	5905	peptidase activity	molecular_function	GO:0008233
1755	18763	glutamate carboxypeptidase II activity	molecular_function	GO:0043275
3177	3752	phospholipid binding	molecular_function	GO:0005543
3200	2196	transcription factor activity	molecular_function	GO:0003700
3200	3838	nucleus	cellular_component	GO:0005634
3200	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
3200	5939	zinc ion binding	molecular_function	GO:0008270
3200	2176	DNA binding	molecular_function	GO:0003677
3200	4499	transcription	biological_process	GO:0006350
4910	171	3'-5'-exoribonuclease activity	molecular_function	GO:0000175
4910	2216	RNA binding	molecular_function	GO:0003723
4910	4541	RNA processing	biological_process	GO:0006396
5673	5830	metabolic process	biological_process	GO:0008152
5673	9710	oxidoreductase activity	molecular_function	GO:0016491
5673	248	3-keto sterol reductase activity	molecular_function	GO:0000253
5673	23835	3-keto-steroid reductase activity	molecular_function	GO:0050576
6525	2196	transcription factor activity	molecular_function	GO:0003700
6525	3838	nucleus	cellular_component	GO:0005634
6525	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
6632	2196	transcription factor activity	molecular_function	GO:0003700
6632	3838	nucleus	cellular_component	GO:0005634
6632	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
6632	5939	zinc ion binding	molecular_function	GO:0008270
6632	19030	sequence-specific DNA binding	molecular_function	GO:0043565
7268	2196	transcription factor activity	molecular_function	GO:0003700
7268	3838	nucleus	cellular_component	GO:0005634
7268	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
7268	5939	zinc ion binding	molecular_function	GO:0008270
7599	5830	metabolic process	biological_process	GO:0008152
