Yarlip1	yarrowiacyc	Similarity_Yarlip1.to.yarrowiacyc	Similarity_yarrowiacyc.to.Yarlip1
jgi|Yarlip1|100023|estExt_Genewise1.C_5_t10232	gnl|YARROWIA|G1FV3-24122-MONOMER	100.0	100.0
jgi|Yarlip1|131486|fgenesh1_kg.21_#_34_#_TRINITY_DN1458_c1_g1_i1	gnl|YARROWIA|G1FV3-24545-MONOMER	100.0	100.0
jgi|Yarlip1|131006|fgenesh1_kg.18_#_203_#_TRINITY_DN5074_c0_g1_i1	gnl|YARROWIA|G1FV3-25742-MONOMER	100.0	100.0
jgi|Yarlip1|131005|fgenesh1_kg.18_#_202_#_TRINITY_DN9440_c0_g1_i1	gnl|YARROWIA|G1FV3-25739-MONOMER	100.0	100.0
jgi|Yarlip1|131003|fgenesh1_kg.18_#_200_#_TRINITY_DN2271_c1_g1_i1	gnl|YARROWIA|G1FV3-25738-MONOMER	100.0	100.0
jgi|Yarlip1|131001|fgenesh1_kg.18_#_198_#_TRINITY_DN2271_c0_g2_i1	gnl|YARROWIA|G1FV3-25737-MONOMER	100.0	100.0
jgi|Yarlip1|130999|fgenesh1_kg.18_#_196_#_TRINITY_DN537_c0_g2_i1	gnl|YARROWIA|G1FV3-25736-MONOMER	100.0	100.0
jgi|Yarlip1|130997|fgenesh1_kg.18_#_194_#_TRINITY_DN2119_c0_g1_i1	gnl|YARROWIA|G1FV3-25735-MONOMER	100.0	100.0
jgi|Yarlip1|130994|fgenesh1_kg.18_#_191_#_TRINITY_DN9309_c1_g1_i1	gnl|YARROWIA|G1FV3-25733-MONOMER	100.0	100.0
jgi|Yarlip1|130993|fgenesh1_kg.18_#_190_#_TRINITY_DN9309_c0_g1_i1	gnl|YARROWIA|G1FV3-25732-MONOMER	100.0	100.0
jgi|Yarlip1|130992|fgenesh1_kg.18_#_189_#_TRINITY_DN4554_c0_g1_i1	gnl|YARROWIA|G1FV3-25731-MONOMER	100.0	100.0
jgi|Yarlip1|130991|fgenesh1_kg.18_#_188_#_TRINITY_DN4929_c0_g1_i1	gnl|YARROWIA|G1FV3-25730-MONOMER	100.0	100.0
jgi|Yarlip1|130987|fgenesh1_kg.18_#_184_#_TRINITY_DN1850_c0_g1_i1	gnl|YARROWIA|G1FV3-25726-MONOMER	100.0	100.0
jgi|Yarlip1|130986|fgenesh1_kg.18_#_183_#_TRINITY_DN10095_c0_g1_i1	gnl|YARROWIA|G1FV3-25725-MONOMER	100.0	100.0
jgi|Yarlip1|130984|fgenesh1_kg.18_#_181_#_TRINITY_DN1748_c0_g1_i1	gnl|YARROWIA|G1FV3-25724-MONOMER	100.0	100.0
jgi|Yarlip1|130983|fgenesh1_kg.18_#_180_#_TRINITY_DN7937_c0_g1_i1	gnl|YARROWIA|G1FV3-25723-MONOMER	100.0	100.0
jgi|Yarlip1|130980|fgenesh1_kg.18_#_177_#_TRINITY_DN7684_c0_g1_i1	gnl|YARROWIA|G1FV3-25720-MONOMER	100.0	100.0
jgi|Yarlip1|130978|fgenesh1_kg.18_#_175_#_TRINITY_DN6282_c0_g1_i1	gnl|YARROWIA|G1FV3-25719-MONOMER	100.0	100.0
jgi|Yarlip1|130976|fgenesh1_kg.18_#_173_#_TRINITY_DN306_c1_g1_i1	gnl|YARROWIA|G1FV3-25717-MONOMER	100.0	100.0
jgi|Yarlip1|130975|fgenesh1_kg.18_#_172_#_TRINITY_DN5199_c0_g1_i1	gnl|YARROWIA|G1FV3-25716-MONOMER	100.0	100.0
jgi|Yarlip1|130972|fgenesh1_kg.18_#_169_#_TRINITY_DN983_c0_g1_i1	gnl|YARROWIA|G1FV3-25714-MONOMER	100.0	100.0
jgi|Yarlip1|131007|fgenesh1_kg.18_#_204_#_TRINITY_DN10891_c0_g1_i1	gnl|YARROWIA|G1FV3-25740-MONOMER	100.0	100.0
jgi|Yarlip1|131009|fgenesh1_kg.18_#_206_#_TRINITY_DN10982_c1_g1_i1	gnl|YARROWIA|G1FV3-25741-MONOMER	100.0	100.0
jgi|Yarlip1|131010|fgenesh1_kg.18_#_207_#_TRINITY_DN6090_c0_g1_i1	gnl|YARROWIA|G1FV3-25743-MONOMER	100.0	100.0
jgi|Yarlip1|131029|fgenesh1_kg.18_#_226_#_TRINITY_DN2354_c0_g3_i1	gnl|YARROWIA|G1FV3-25757-MONOMER	100.0	100.0
jgi|Yarlip1|131049|fgenesh1_kg.19_#_18_#_TRINITY_DN2457_c1_g1_i1	gnl|YARROWIA|G1FV3-29069-MONOMER	100.0	100.0
jgi|Yarlip1|131047|fgenesh1_kg.19_#_16_#_TRINITY_DN5747_c0_g1_i1	gnl|YARROWIA|G1FV3-29070-MONOMER	100.0	100.0
jgi|Yarlip1|131046|fgenesh1_kg.19_#_15_#_TRINITY_DN9414_c0_g1_i1	gnl|YARROWIA|G1FV3-29071-MONOMER	100.0	100.0
jgi|Yarlip1|131040|fgenesh1_kg.19_#_9_#_TRINITY_DN1770_c0_g1_i1	gnl|YARROWIA|G1FV3-29074-MONOMER	100.0	100.0
jgi|Yarlip1|131038|fgenesh1_kg.19_#_7_#_TRINITY_DN850_c0_g2_i1	gnl|YARROWIA|G1FV3-29076-MONOMER	100.0	100.0
jgi|Yarlip1|131036|fgenesh1_kg.19_#_5_#_TRINITY_DN8512_c1_g1_i1	gnl|YARROWIA|G1FV3-29077-MONOMER	100.0	100.0
jgi|Yarlip1|131035|fgenesh1_kg.19_#_4_#_TRINITY_DN8512_c0_g1_i1	gnl|YARROWIA|G1FV3-29078-MONOMER	100.0	100.0
jgi|Yarlip1|131034|fgenesh1_kg.19_#_3_#_TRINITY_DN1318_c0_g1_i1	gnl|YARROWIA|G1FV3-29079-MONOMER	100.0	100.0
jgi|Yarlip1|131026|fgenesh1_kg.18_#_223_#_TRINITY_DN3217_c0_g1_i1	gnl|YARROWIA|G1FV3-25756-MONOMER	100.0	100.0
jgi|Yarlip1|131012|fgenesh1_kg.18_#_209_#_TRINITY_DN2313_c0_g1_i1	gnl|YARROWIA|G1FV3-25744-MONOMER	100.0	100.0
jgi|Yarlip1|131024|fgenesh1_kg.18_#_221_#_TRINITY_DN405_c0_g1_i1	gnl|YARROWIA|G1FV3-25755-MONOMER	100.0	100.0
jgi|Yarlip1|131020|fgenesh1_kg.18_#_217_#_TRINITY_DN9405_c0_g1_i1	gnl|YARROWIA|G1FV3-25751-MONOMER	100.0	100.0
jgi|Yarlip1|131019|fgenesh1_kg.18_#_216_#_TRINITY_DN359_c0_g1_i1	gnl|YARROWIA|G1FV3-25750-MONOMER	100.0	100.0
jgi|Yarlip1|131018|fgenesh1_kg.18_#_215_#_TRINITY_DN10986_c0_g1_i1	gnl|YARROWIA|G1FV3-25749-MONOMER	100.0	100.0
jgi|Yarlip1|131017|fgenesh1_kg.18_#_214_#_TRINITY_DN11098_c1_g1_i1	gnl|YARROWIA|G1FV3-25748-MONOMER	100.0	100.0
jgi|Yarlip1|131016|fgenesh1_kg.18_#_213_#_TRINITY_DN11098_c0_g1_i1	gnl|YARROWIA|G1FV3-25747-MONOMER	100.0	100.0
jgi|Yarlip1|131015|fgenesh1_kg.18_#_212_#_TRINITY_DN9300_c0_g1_i1	gnl|YARROWIA|G1FV3-25746-MONOMER	100.0	100.0
jgi|Yarlip1|131013|fgenesh1_kg.18_#_210_#_TRINITY_DN2313_c1_g1_i1	gnl|YARROWIA|G1FV3-25745-MONOMER	100.0	100.0
jgi|Yarlip1|130971|fgenesh1_kg.18_#_168_#_TRINITY_DN8094_c0_g1_i1	gnl|YARROWIA|G1FV3-25713-MONOMER	100.0	100.0
jgi|Yarlip1|130970|fgenesh1_kg.18_#_167_#_TRINITY_DN6303_c0_g1_i1	gnl|YARROWIA|G1FV3-25712-MONOMER	100.0	100.0
jgi|Yarlip1|130967|fgenesh1_kg.18_#_164_#_TRINITY_DN11439_c0_g1_i1	gnl|YARROWIA|G1FV3-25710-MONOMER	100.0	100.0
jgi|Yarlip1|130887|fgenesh1_kg.18_#_84_#_TRINITY_DN2450_c0_g2_i1	gnl|YARROWIA|G1FV3-25660-MONOMER	100.0	100.0
